AP008937.1,
AP017973.1,oral
AP024320.1,
CP002033.1,
CP005958.1,
CP011536.1,dairy
CP016803.1,fermented_food
CP017151.1,
CP019030.1,human_organ
CP021104.1,fecal
CP021790.1,oral
CP031195.1,fermented_food
CP033371.1,dairy
CP034099.1,fermented_food
CP034193.1,fermented_food
CP035054.1,food
CP035055.1,food
CP044354.1,dairy
CP045034.1,fermented_food
CP047584.1,oral
CP047585.1,oral
CP050919.1,
CP053312.1,fermented_food
CP053314.1,dairy
CP065522.1,
CP067088.1,dairy
CP070858.1,food
CP070935.1,
CP070948.1,
CP070999.1,fermented_food
CP071000.1,fermented_food
CP071001.1,fermented_food
CP076082.1,food
CP076446.1,fermented_food
CP082359.1,fermented_food
CP089305.1,fermented_food
CP094655.1,fermented_food
CP095385.1,
CP100352.1,oral
CP101688.1,secretions
CP102532.1,
CP102714.1,oral
CP103293.1,fecal
CP103400.1,fermented_food
CP110798.1,fecal
CP116617.1,
CP116618.1,
CP116755.1,
CP117933.1,
CP118092.1,
CP119406.1,
CP119425.1,
CP120668.1,fermented_food
CP121468.1,dairy
CP124737.1,secretions
CP127401.1,
CP128169.1,fermented_food
CP131058.1,fecal
CP132481.1,
CP132541.1,fermented_food
CP136242.1,fermented_food
CP139052.1,fermented_food
CP139637.1,fecal
CP141807.1,
CP145309.1,fermented_food
CP157198.1,plant
CP157592.1,fermented_food
CP157980.1,fermented_food
CP158463.1,fermented_food
CP160833.1,fermented_food
CP165726.1,fermented_food
CP170189.1,fermented_food
CP171795.1,plant
CP172330.1,fecal
CP176633.1,fecal
CP184765.1,fermented_food
CP188318.1,food
CP193773.1,plant
CP197007.1,fecal
CP199922.1,fecal
